X,Y,lon,lat
102980.0,6847973.0,-5.088856115301341,48.45657455881529
103113.0,6848661.0,-5.088018169414727,48.462853848278954
103114.0,6848664.0,-5.088008862939316,48.46288161521433
112032.0,6840427.0,-4.956781637814168,48.3972974813648
115635.0,6799938.0,-4.854028771080819,48.03805041235133
124571.0,6834344.0,-4.780119809240886,48.35406430947823
124695.0,6799102.0,-4.73194616059219,48.0385972703488
124754.0,6834397.0,-4.777731877992547,48.35470076930103
126832.0,6850891.0,-4.771695463881178,48.50420651951063
126839.0,6850905.0,-4.771619784305975,48.50433804017318
127043.0,6835882.0,-4.7489456963621866,48.37001805334985
127568.0,6845233.0,-4.754270395748871,48.45420246573997
128710.0,6798555.0,-4.677613741696568,48.03721814576735
128752.0,6833527.0,-4.722874591181861,48.35043593787272
128760.0,6833539.0,-4.722782941392551,48.35055041351564
128766.0,6833546.0,-4.72271156776194,48.35061836229777
128770.0,6833549.0,-4.722661788562953,48.35064873821183
128841.0,6844669.0,-4.736390230012219,48.45027450351899
128862.0,6844668.0,-4.736106277402932,48.450284030151806
129220.0,6848789.0,-4.73673980531833,48.48749434729189
129264.0,6848863.0,-4.736245166876135,48.48819557839915
129846.0,6839759.0,-4.716385615928395,48.40719668269798
129865.0,6839792.0,-4.7161736109328105,48.40750883010424
129878.0,6798001.0,-4.661295219361244,48.03327552872508
129879.0,6797996.0,-4.661275366918119,48.03323161750345
129898.0,6798012.0,-4.6610424394907986,48.033391485899905
130114.0,6854345.0,-4.732050082929066,48.538022064509896
130418.0,6842903.0,-4.712836408491828,48.435848640432326
133248.0,6855889.0,-4.691832189578885,48.55459409749525
134821.0,6834024.0,-4.641988237530725,48.36019025480056
134823.0,6834038.0,-4.641979626571425,48.360317360411585
135262.0,6852772.0,-4.660579008628377,48.52844559679031
135263.0,6852800.0,-4.660602261362572,48.52869716368479
135264.0,6852783.0,-4.660566479466566,48.528545827039515
135264.0,6852806.0,-4.660596652722694,48.52875175550711
135485.0,6833857.0,-4.632848317346043,48.35927170865007
136567.0,6836278.0,-4.621458999320931,48.38189027370204
136592.0,6841494.0,-4.627917599727266,48.42861949292136
136595.0,6841496.0,-4.627879842901475,48.428640005013854
136658.0,6836986.0,-4.621157156784435,48.38830919657023
136672.0,6836980.0,-4.620961122333532,48.3882676051968
136709.0,6836971.0,-4.620451957647644,48.38821908810453
136918.0,6844810.0,-4.627854753900019,48.45859504948683
136926.0,6833491.0,-4.613009485040318,48.3572438124416
137269.0,6797110.0,-4.561442054388971,48.03169593332308
137508.0,6843513.0,-4.618221914669326,48.447492867533505
137794.0,6843213.0,-4.613981815891421,48.44505430481719
137903.0,6835712.0,-4.6027639002634135,48.377978678487814
137945.0,6843006.0,-4.611680060889603,48.443331482883416
138045.0,6836907.0,-4.602406468752987,48.38880278261064
138048.0,6836906.0,-4.602364835123195,48.388796422138114
138073.0,6823980.0,-4.585282151040923,48.2730592365876
138074.0,6823972.0,-4.585258393455487,48.272988451805396
138177.0,6823771.0,-4.583616783624813,48.27127717622989
138179.0,6823798.0,-4.58362484769165,48.27152071379421
138848.0,6856582.0,-4.617207605660656,48.565674318378974
138848.0,6856585.0,-4.617211521855369,48.56570117924711
139223.0,6852006.0,-4.60618383992639,48.525026268942234
139226.0,6852004.0,-4.606140795218547,48.52501095643067
139381.0,6812351.0,-4.55276471422297,48.17003081814723
139902.0,6835505.0,-4.575624110166334,48.37785080201044
139907.0,6835500.0,-4.575550428488787,48.377810334156294
140028.0,6795550.0,-4.5226028060799806,48.020089373628494
140032.0,6795537.0,-4.522532807812284,48.01997634126771
140033.0,6795536.0,-4.522518179148275,48.019968239092016
140035.0,6795539.0,-4.522495301495338,48.019996825674305
140057.0,6833570.0,-4.571038765387796,48.360655509607554
140081.0,6842315.0,-4.582035125829574,48.43898967387874
140594.0,6833532.0,-4.563773229520791,48.36077750079239
140606.0,6833537.0,-4.5636184231977515,48.360832604710474
140746.0,6841216.0,-4.571662650275295,48.42972131821018
140754.0,6841227.0,-4.571569238752389,48.42982671474978
141217.0,6845048.0,-4.570283552877868,48.464442400627476
141469.0,6794973.0,-4.50262674609969,48.01615232561852
141897.0,6840844.0,-4.555694014505381,48.42738035276537
141899.0,6840848.0,-4.555672269040568,48.4274178928983
142146.0,6834833.0,-4.544591787908404,48.37376264045137
142162.0,6845551.0,-4.558209284014645,48.46975986299928
142505.0,6839777.0,-4.546136591209191,48.41834725797528
142515.0,6839739.0,-4.54595305113964,48.41801553577201
142613.0,6818411.0,-4.517234539206714,48.227081040324244
142726.0,6858673.0,-4.567601391410825,48.58774575043061
142727.0,6858669.0,-4.567582704869485,48.58771079517957
142764.0,6835819.0,-4.5375535236320665,48.38312320382246
143070.0,6795023.0,-4.481312953454201,48.0179651798404
143096.0,6835223.0,-4.532323165484336,48.37807013193484
143101.0,6835220.0,-4.532252089377237,48.37804754889328
143246.0,6796660.0,-4.481039992416079,48.032780245913806
143252.0,6836009.0,-4.531236863235558,48.38524308982852
143253.0,6796649.0,-4.480932534714083,48.03268766076052
143261.0,6796657.0,-4.480835835424116,48.03276613952242
143346.0,6834453.0,-4.52797241096049,48.37138825260983
143534.0,6835381.0,-4.526637973506537,48.37986034673796
143693.0,6838607.0,-4.528648078950406,48.40888791552131
143706.0,6835896.0,-4.524987419421742,48.38461989652641
143721.0,6836353.0,-4.525373108088293,48.38872557387317
143744.0,6836137.0,-4.524786225323792,48.38681079564012
143846.0,6836139.0,-4.523417320413931,48.386916016606484
143853.0,6836141.0,-4.5233257693397775,48.38693991962403
