city,Operateur,2G,3G,4G
Plobannalec-Lesconil,20801,1,1,0
Plogastel-Saint-Germain,20801,1,1,0
Le Juch,20810,1,1,1
Lesneven,20815,0,1,1
Lesneven,20801,1,1,0
Logonna-Daoulas,20801,1,1,0
Logonna-Daoulas,20820,1,1,0
Logonna-Daoulas,20815,0,1,1
Pont-l'Abbé,20810,1,1,1
Pont-l'Abbé,20801,1,1,1
Pont-l'Abbé,20820,1,1,1
Le Juch,20820,1,1,0
Ploudaniel,20820,1,1,0
Ploudaniel,20815,0,1,1
Ploudaniel,20801,1,1,0
Plonéis,20820,1,1,0
Plonéis,20815,0,1,1
Dirinon,20820,1,1,1
Loctudy,20820,1,1,1
Loctudy,20810,1,1,1
Loctudy,20801,0,1,0
Guengat,20810,1,1,0
Landerneau,20810,1,1,0
Plouider,20810,1,1,0
Plouider,20815,0,1,0
Landerneau,20801,1,1,0
Landerneau,20820,1,1,0
Plonévez-Porzay,20801,1,1,1
Plonévez-Porzay,20820,1,1,1
Plonévez-Porzay,20815,0,1,1
Guengat,20820,1,1,0
Landerneau,20810,1,1,1
Landerneau,20815,0,1,1
Daoulas,20815,0,1,1
Irvillac,20810,1,1,0
Irvillac,20801,1,1,1
Loctudy,20815,0,1,1
Loctudy,20801,1,1,1
Plouédern,20810,1,1,1
Plouédern,20801,1,0,0
Plouédern,20820,1,1,1
Plouédern,20815,0,1,0
Pluguffan,20820,1,1,1
Pluguffan,20810,1,1,1
Combrit,20810,1,1,1
Combrit,20801,1,1,1
Combrit,20815,0,1,1
Combrit,20820,1,1,1
Hôpital-Camfrout,20820,1,0,0
Hôpital-Camfrout,20810,1,1,1
Pencran,20810,1,0,0
Landerneau,20815,0,1,0
Landerneau,20801,1,1,1
Pluguffan,20801,1,1,0
Plogonnec,20801,1,1,0
Hanvec,20801,1,1,0
Plomelin,20801,1,1,0
Hanvec,20820,1,1,0
Hanvec,20815,0,1,1
Plomelin,20820,1,1,1
Plomelin,20815,0,1,1
Plomelin,20810,1,1,1
Quimper,20801,1,1,0
Plounévez-Lochrist,20815,0,1,0
Plounévez-Lochrist,20801,1,1,1
Quimper,20820,1,1,1
Quimper,20810,1,1,1
Quimper,20815,0,1,0
Quimper,20801,1,1,1
Dinéault,20820,1,1,0
Bénodet,20810,1,1,1
Bénodet,20820,1,1,1
Bénodet,20801,1,1,1
Dinéault,20801,0,1,0
Quéménéven,20820,1,1,1
Quéménéven,20810,1,1,1
Quéménéven,20815,0,1,1
Pont-de-Buis-lès-Quimerch,20820,1,1,1
Pont-de-Buis-lès-Quimerch,20810,1,1,1
Pont-de-Buis-lès-Quimerch,20801,1,1,0
Quimper,20810,1,0,0
Pont-de-Buis-lès-Quimerch,20815,0,1,1
Plounévez-Lochrist,20820,1,1,1
Plounévez-Lochrist,20810,1,1,1
Quimper,20801,1,0,0
Saint-Derrien,20801,1,1,0
Saint-Derrien,20820,1,1,0
Saint-Derrien,20810,1,1,0
Saint-Derrien,20815,0,1,0
Quimper,20801,0,0,0
Plouescat,20820,1,1,1
Plouescat,20801,1,1,1
Plouescat,20815,0,1,1
Quimper,20815,0,1,1
Gouesnach,20810,1,1,1
Gouesnach,20815,0,1,1
Gouesnach,20820,1,1,1
Quimper,20801,0,1,0
Quimper,20820,1,0,0
Saint-Servais,20801,0,0,1
Pleuven,20820,1,1,1
Pleuven,20810,1,1,1
Pleuven,20801,1,1,0
Saint-Ségal,20801,1,1,0
Plouescat,20810,1,1,1
Châteaulin,20801,1,1,1
Bodilis,20820,1,1,0
Bodilis,20810,0,1,0
Bodilis,20815,0,1,0
Bodilis,20801,0,1,0
Pont-de-Buis-lès-Quimerch,20810,0,1,0
Ergué-Gabéric,20801,1,1,0
Ergué-Gabéric,20820,1,1,1
Ergué-Gabéric,20815,0,1,1
Ergué-Gabéric,20810,1,1,1
Pont-de-Buis-lès-Quimerch,20801,1,1,1
Ploudiry,20801,1,1,1
Châteaulin,20820,1,1,1
Châteaulin,20810,1,1,1
Fouesnant,20820,1,1,1
Fouesnant,20815,0,1,1
Fouesnant,20810,1,1,1
Plouzévédé,20820,1,1,1
Plouzévédé,20810,1,1,1
Plouzévédé,20815,0,1,1
Châteaulin,20815,0,1,1
Fouesnant,20801,1,1,1
Sizun,20820,1,1,0
Sizun,20815,0,1,1
Ergué-Gabéric,20801,0,1,0
Saint-Évarzec,20810,1,1,1
Saint-Évarzec,20801,1,1,0
Saint-Évarzec,20820,1,1,1
Briec,20801,1,1,0
Landivisiau,20820,1,0,0
Cléder,20801,1,1,1
Cléder,20815,0,1,1
Fouesnant,20801,0,1,0
Cléder,20810,1,1,1
Cléder,20820,1,1,1
Landivisiau,20820,1,1,1
Landivisiau,20810,1,1,1
Landivisiau,20801,0,1,0
Briec,20820,1,1,1
Briec,20810,1,1,1
Briec,20815,0,1,1
Fouesnant,20801,0,1,1
Landivisiau,20801,1,1,1
Saint-Évarzec,20815,0,1,1
Landivisiau,20801,1,1,0
La Forêt-Fouesnant,20810,1,1,1
La Forêt-Fouesnant,20820,1,1,1
Lampaul-Guimiliau,20801,1,1,0
Lampaul-Guimiliau,20810,1,1,1
Lampaul-Guimiliau,20820,1,1,1
La Forêt-Fouesnant,20801,1,1,0
Landivisiau,20801,0,1,1
Sibiril,20820,1,1,1
Sibiril,20810,1,1,1
Plougourvest,20820,1,1,1
Plougourvest,20810,1,1,1
Landivisiau,20815,0,1,1
Briec,20820,1,0,0
Plouvorn,20801,1,1,1
La Forêt-Fouesnant,20801,1,1,1
Edern,20801,1,1,1
Saint-Rivoal,20820,1,1,0
Saint-Rivoal,20810,1,1,0
Saint-Rivoal,20815,0,1,0
Saint-Rivoal,20801,1,1,0
Guiclan,20820,1,1,1
Saint-Yvi,20801,1,1,0
Saint-Yvi,20820,1,1,1
Saint-Yvi,20815,0,1,1
Saint-Yvi,20810,1,1,1
Concarneau,20801,1,1,0
Concarneau,20810,1,1,1
Concarneau,20820,1,1,1
Concarneau,20815,0,1,1
Concarneau,20801,1,1,1
Plouénan,20810,1,1,1
Plouénan,20820,1,1,1
Brasparts,20820,1,1,1
Brasparts,20810,1,1,1
Île-de-Batz,20820,1,0,0
Pleyben,20810,1,1,1
Pleyben,20820,1,1,1
Pleyben,20815,0,1,1
Brasparts,20801,1,1,0
Santec,20810,1,1,1
Santec,20820,1,1,1
Pleyben,20801,1,1,0
Saint-Pol-de-Léon,20815,0,1,1
Saint-Pol-de-Léon,20801,1,1,0
Île-de-Batz,20810,0,1,0
Elliant,20820,1,1,1
Elliant,20810,1,1,1
Plouénan,20815,0,1,1
Guiclan,20801,1,1,1
Saint-Thois,20820,1,1,1
Saint-Thois,20810,1,1,1
Roscoff,20801,1,1,0
Saint-Pol-de-Léon,20810,1,1,1
Saint-Pol-de-Léon,20801,1,1,1
Roscoff,20810,1,1,1
Roscoff,20820,1,1,1
Saint-Pol-de-Léon,20820,1,1,1
Saint-Pol-de-Léon,20815,0,1,0
Trégunc,20801,0,1,0
Elliant,20801,1,1,0
Elliant,20815,0,1,1
Roscoff,20815,0,1,0
Roscoff,20801,0,1,1
Saint-Thégonnec Loc-Eguiner,20820,1,1,1
Saint-Thégonnec Loc-Eguiner,20815,0,1,1
Saint-Thégonnec Loc-Eguiner,20810,1,1,1
Trégunc,20815,0,1,0
Trégunc,20801,1,1,0
